,2020-06-20-2020-06-27,2020-06-27-2020-07-04,2020-07-04-2020-07-11,2020-07-11-2020-07-18,2020-07-18-2020-07-25,2020-07-25-2020-08-01,2020-08-01-2020-08-08,2020-08-08-2020-08-15,2020-08-15-2020-08-22,2020-08-22-2020-08-29,2020-08-29-2020-09-05,2020-09-05-2020-09-12,2020-09-12-2020-09-19,2020-09-19-2020-09-26,2020-09-26-2020-10-03,2020-10-03-2020-10-10,2020-10-10-2020-10-17,2020-10-17-2020-10-24,2020-10-24-2020-10-31,2020-10-31-2020-11-07,2020-11-07-2020-11-14,2020-11-14-2020-11-21,2020-11-21-2020-11-28,2020-11-28-2020-12-05,2020-12-05-2020-12-12,2020-12-12-2020-12-19
Karlen_pypm,,,,,,,,46.0,34.0,58.0,39.0,12.0,169.0,59.0,60.0,79.0,51.0,23.0,6.0,35.0,85.0,11.0,45.0,11.0,69.0,50.0
reich_BPagano_RtDriven,,,,,,,,,,,,,,,,,,,15.0,113.0,55.0,91.0,26.0,3.0,224.0,68.0
reich_Caltech_CS156,,,,,,,,,,,,,,,,,,,,,,,7.0,33.0,158.0,95.0
reich_CEID_Walk,,,,,,,,,,,34.0,26.0,143.0,11.0,10.0,57.0,90.0,17.0,11.0,14.0,12.0,76.0,15.0,26.0,196.0,107.0
reich_CMU_TimeSeries,,,,,,,,3.0,11.0,51.0,46.0,1.0,110.0,19.0,84.0,93.0,64.0,43.0,28.0,52.0,25.0,55.0,7.0,16.0,148.0,25.0
reich_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,,,,,,9.0,61.0,113.0,140.0,98.0,199.0
reich_Covid19Sim_Simulator,,,,,,3.0,18.0,0.0,2.0,30.0,,,168.0,40.0,4.0,14.0,70.0,104.0,49.0,2.0,24.0,40.0,43.0,0.0,,68.0
reich_CovidAnalytics_DELPHI,,,,,,,,,,,,,,,,,,18.0,22.0,24.0,10.0,51.0,19.0,38.0,157.0,111.0
reich_COVIDhub_baseline,,,,,,32.0,44.0,27.0,32.0,39.0,33.0,22.0,138.0,6.0,12.0,58.0,80.0,9.0,6.0,2.0,41.0,65.0,16.0,28.0,200.0,102.0
reich_COVIDhub_ensemble,,,1.0,1.0,,,,14.0,25.0,45.0,34.0,30.0,143.0,26.0,30.0,72.0,48.0,11.0,14.0,19.0,31.0,57.0,16.0,26.0,163.0,68.0
