,2020-06-20-2020-06-27,2020-06-27-2020-07-04,2020-07-04-2020-07-11,2020-07-11-2020-07-18,2020-07-18-2020-07-25,2020-07-25-2020-08-01,2020-08-01-2020-08-08,2020-08-08-2020-08-15,2020-08-15-2020-08-22,2020-08-22-2020-08-29,2020-08-29-2020-09-05,2020-09-05-2020-09-12,2020-09-12-2020-09-19,2020-09-19-2020-09-26,2020-09-26-2020-10-03,2020-10-03-2020-10-10,2020-10-10-2020-10-17,2020-10-17-2020-10-24,2020-10-24-2020-10-31,2020-10-31-2020-11-07,2020-11-07-2020-11-14,2020-11-14-2020-11-21,2020-11-21-2020-11-28,2020-11-28-2020-12-05,2020-12-05-2020-12-12,2020-12-12-2020-12-19,2020-12-19-2020-12-26,2020-12-26-2021-01-02,2021-01-02-2021-01-09,2021-01-09-2021-01-16
Karlen_pypm,,,,,,,,42.0,79.0,92.0,3.0,38.0,12.0,1.0,26.0,8.0,57.0,30.0,31.0,52.0,56.0,28.0,235.0,103.0,382.0,95.0,21.0,187.0,221.0,333.0
reich_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0
reich_BPagano_RtDriven,,,,,,,,,,,,,,,,,,,48.0,97.0,55.0,30.0,20.0,146.0,86.0,81.0,144.0,95.0,20.0,83.0
reich_Caltech_CS156,,,,,,,,,,,,,,,,,,,,,,,9.0,49.0,57.0,14.0,69.0,48.0,35.0,8.0
reich_CEID_Walk,,,,,,,,,,,7.0,35.0,9.0,14.0,34.0,6.0,39.0,26.0,38.0,71.0,23.0,84.0,52.0,140.0,179.0,156.0,162.0,225.0,,
reich_CMU_TimeSeries,,,,,,,,18.0,40.0,76.0,29.0,32.0,41.0,18.0,83.0,42.0,78.0,52.0,77.0,77.0,80.0,100.0,99.0,134.0,175.0,21.0,90.0,43.0,39.0,77.0
reich_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,,,,,,51.0,63.0,249.0,272.0,581.0,416.0,71.0,273.0,594.0,415.0
reich_Covid19Sim_Simulator,,,,,,87.0,69.0,80.0,65.0,77.0,,,68.0,8.0,530.0,56.0,111.0,4.0,96.0,89.0,19.0,4.0,41.0,48.0,,88.0,78.0,106.0,129.0,134.0
reich_CovidAnalytics_DELPHI,,,,,,,,,,,,,,,,,,104.0,103.0,19.0,122.0,52.0,17.0,125.0,73.0,111.0,74.0,125.0,144.0,118.0
reich_COVIDhub_baseline,,,,,,15.0,43.0,4.0,4.0,1.0,15.0,25.0,4.0,19.0,36.0,0.0,37.0,20.0,36.0,58.0,28.0,79.0,36.0,139.0,190.0,155.0,165.0,215.0,218.0,159.0
