,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27
SIkJaun1_hyper7,,,20.0,53.0,50.0,76.0,27.0,74.0,3.0,62.0,6.0,68.0,181.0,43.0,48.0,45.0,23.0,80.0,35.0,66.0,31.0,34.0,32.0,3.0,25.0,6.0,76.0,13.0,27.0,42.0,31.0,14.0,79.0,,,
ensemble_SIkJa_RF,,,,11.426999999999978,9.034999999999997,77.157,15.525999999999996,54.33,28.078999999999994,42.34200000000001,21.509,50.181,182.212,69.77,12.669999999999987,64.36000000000001,64.83000000000001,71.941,22.087999999999994,60.629999999999995,24.787999999999997,55.301,53.99000000000001,11.449999999999989,47.379999999999995,2.6699999999999875,83.16000000000003,32.349999999999994,29.80000000000001,83.27000000000001,96.87,98.16000000000003,7.769999999999982,,,
Karlen_pypm,,,,,103.0,8.0,30.0,68.0,45.0,47.0,32.0,55.0,182.0,12.0,31.0,71.0,45.0,60.0,25.0,62.0,4.0,52.0,13.0,21.0,28.0,8.0,70.0,23.0,16.0,0.0,3.0,18.0,44.0,94.0,48.0,989.0
reich_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,14.0,26.0,26.0,,8.0,94.0,243.0,292.0,655.0
reich_BPagano_RtDriven,,,,,,,,,,,,,,,,17.0,0.0,83.0,108.0,145.0,66.0,25.0,82.0,41.0,76.0,4.0,88.0,11.0,8.0,51.0,61.0,69.0,34.0,111.0,74.0,986.0
reich_Caltech_CS156,,,,,,,,,,,,,,,,,,,,42.0,4.0,40.0,17.0,6.0,47.0,18.0,40.0,36.0,22.0,26.0,,,69.0,135.0,,985.0
reich_CEID_Walk,,,,,,,,44.0,5.0,80.0,11.0,56.0,221.0,108.0,37.0,39.0,57.0,78.0,67.0,33.0,55.0,43.0,20.0,19.0,69.0,20.0,32.0,94.0,1.0,56.0,65.0,7.0,43.0,97.0,22.0,976.0
reich_CMU_TimeSeries,,,,,16.0,89.0,17.0,86.0,2.0,51.0,12.0,65.0,214.0,38.0,24.0,37.0,17.0,85.0,59.0,67.0,52.0,36.0,12.0,5.0,60.0,18.0,37.0,56.0,2.0,72.0,,8.0,64.0,172.0,27.0,1056.0
reich_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,,,68.0,2.0,51.0,7.0,61.0,1.0,46.0,43.0,3.0,73.0,7.0,24.0,,48.0,7.0,,141.0,59.0,1025.0
reich_Covid19Sim_Simulator,,,52.0,4.0,14.0,63.0,14.0,,,35.0,3.0,101.0,197.0,17.0,134.0,105.0,75.0,72.0,18.0,39.0,13.0,,8.0,4.0,65.0,63.0,15.0,16.0,21.0,33.0,,35.0,37.0,156.0,149.0,963.0
reich_CovidAnalytics_DELPHI,,,,,,,,,,,,,,,68.0,21.0,1.0,89.0,24.0,1.0,22.0,56.0,15.0,47.0,91.0,97.0,9.0,53.0,33.0,104.0,,28.0,17.0,64.0,52.0,1003.0
reich_COVIDhub_baseline,,,12.0,50.0,13.0,90.0,33.0,48.0,3.0,63.0,16.0,64.0,223.0,112.0,28.0,41.0,16.0,88.0,79.0,26.0,45.0,44.0,23.0,27.0,69.0,22.0,37.0,80.0,13.0,61.0,,,46.0,101.0,22.0,
reich_COVIDhub_ensemble,,,12.0,38.0,25.0,78.0,16.0,52.0,16.0,53.0,25.0,52.0,195.0,19.0,11.0,36.0,33.0,72.0,36.0,46.0,15.0,43.0,22.0,4.0,56.0,18.0,50.0,27.0,7.0,40.0,,10.0,45.0,115.0,53.0,975.0
reich_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,117.0,225.0,963.0
reich_CU_nochange,,,,,,,,,,,,,,,,14.0,54.0,21.0,65.0,116.0,133.0,68.0,13.0,34.0,68.0,39.0,89.0,9.0,78.0,110.0,,78.0,31.0,18.0,56.0,980.0
reich_CU_scenario_high,,,,,,,,,,,,,,,,13.0,54.0,22.0,61.0,117.0,132.0,68.0,14.0,32.0,68.0,40.0,86.0,10.0,78.0,110.0,,78.0,30.0,18.0,54.0,980.0
reich_CU_scenario_low,,,,,,,,,,,,,,,,13.0,52.0,24.0,62.0,119.0,130.0,68.0,14.0,32.0,67.0,41.0,84.0,10.0,79.0,110.0,,78.0,29.0,18.0,54.0,980.0
reich_CU_scenario_mid,,,,,,,,,,,,,,,,15.0,53.0,20.0,60.0,118.0,130.0,67.0,13.0,32.0,66.0,41.0,86.0,11.0,79.0,110.0,,78.0,27.0,18.0,55.0,980.0
