,State,425,430,437,444,451,458,465
0,Washington,355986,3543,2645,1924,1380,978,685
1,Illinois,1222992,5408,3827,2502,1501,830,424
2,California,3645303,12776,9569,7032,5041,3508,2359
3,Arizona,836737,2361,1673,1182,834,590,416
4,Massachusetts,615874,7352,6334,5315,4320,3386,2552
5,Wisconsin,629787,1933,1529,1206,948,744,581
6,Texas,2757552,12623,8718,5921,3959,2613,1703
7,Nebraska,206571,1208,984,767,568,398,263
8,Utah,381788,1533,1118,815,592,431,313
9,Oregon,161706,913,497,242,110,47,19
10,Florida,2011211,18156,13047,9242,6468,4469,3051
11,New York,1785565,38134,33494,28322,22836,17364,12332
12,Rhode Island,134039,1980,1817,1625,1408,1175,941
13,Georgia,1046382,8701,7047,5614,4385,3347,2491
14,New Hampshire,80750,1079,885,701,533,390,271
15,North Carolina,898102,4485,2987,1929,1206,729,428
16,New Jersey,869037,25248,24077,21663,18209,14194,10218
17,Colorado,450934,7226,6454,5254,3879,2633,1659
18,Maryland,400705,4349,3299,2493,1884,1419,1067
19,Nevada,301334,928,695,518,383,282,207
20,Tennessee,801645,3474,2650,1994,1482,1082,779
21,Hawaii,29198,432,303,175,87,39,18
22,Indiana,678416,1475,978,633,401,250,153
23,Kentucky,421121,3126,2488,1975,1566,1241,981
24,Minnesota,506376,7296,5993,4496,3209,2235,1533
25,Oklahoma,435450,1194,779,501,315,197,119
26,Pennsylvania,991089,8794,7255,5977,4910,4022,3282
27,South Carolina,542203,3561,2203,1283,713,382,197
28,District of Columbia,43383,612,466,351,263,196,144
29,Kansas,301898,500,291,165,91,51,27
30,Missouri,575562,1825,1395,1057,781,556,390
31,Vermont,17839,790,734,663,593,527,467
32,Virginia,605967,4205,3007,2111,1455,984,655
33,Connecticut,299667,2338,1882,1515,1217,978,783
34,Iowa,346217,798,423,218,112,56,27
35,Louisiana,441066,1404,1014,728,518,366,256
36,Ohio,1001194,4949,3852,2990,2316,1789,1378
37,Michigan,696838,16391,13285,10665,8539,6793,5409
38,South Dakota,115972,662,430,265,158,93,54
39,Arkansas,328707,1126,795,557,387,265,182
40,Delaware,92429,1112,677,372,188,90,41
41,Mississippi,302932,1238,940,713,538,404,303
42,New Mexico,189893,792,624,490,382,292,198
43,North Dakota,101701,334,252,190,142,106,80
44,Wyoming,55730,266,185,123,80,50,27
45,Alaska,61435,634,518,422,342,278,226
46,Maine,48642,1011,661,367,183,87,40
47,Alabama,511779,1376,957,662,452,306,205
48,Idaho,177760,1987,1900,1736,1500,1214,916
49,Montana,103098,622,521,434,359,294,240
50,Puerto Rico,104743,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,2767,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,7784,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,138102,680,512,382,281,203,145
54,Northern Mariana Islands,158,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN
