,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03
ensemble_SIkJa_RF,,,,,,,47.878,3.729999999999997,12.633000000000004,30.888000000000005,0.980000000000004,16.011000000000028,163.245,29.717,3.1200000000000045,64.541,14.040000000000004,29.25,65.72,19.81,79.80000000000003,5.689999999999998,42.53999999999999,64.94,164.29000000000005,31.97999999999999,129.54000000000002,122.02,44.5,76.69999999999997,8.420000000000016,0.5699999999999932,58.63999999999999,121.54000000000002,119.09,141.79,,,,,,,,,,,,,,,,,,
FH_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,34.0,54.0,119.0,,278.0,317.0,227.0,66.0,24.0,29.0,30.0,17.0,9.0,2.0,,0.0,19.0,11.0,4.0,7.0,,9.0,1.0,7.0
FH_BPagano_RtDriven,,,,,,,,,,,,,,,,,,,15.0,113.0,55.0,91.0,26.0,3.0,224.0,68.0,140.0,140.0,310.0,166.0,46.0,42.0,56.0,67.0,94.0,130.0,254.0,79.0,39.0,42.0,43.0,11.0,30.0,69.0,,3.0,28.0,19.0,9.0,7.0,1.0,12.0,6.0,18.0
FH_Caltech_CS156,,,,,,,,,,,,,,,,,,,,,,,7.0,33.0,158.0,95.0,107.0,107.0,42.0,10.0,6.0,21.0,35.0,,,183.0,330.0,,24.0,17.0,11.0,46.0,24.0,21.0,,15.0,,,,,,,,
FH_CEID_Walk,,,,,,,,,,,34.0,26.0,143.0,11.0,10.0,57.0,90.0,17.0,11.0,14.0,12.0,76.0,15.0,26.0,196.0,107.0,140.0,104.0,,,15.0,24.0,51.0,90.0,172.0,208.0,341.0,32.0,15.0,10.0,16.0,134.0,42.0,8.0,,9.0,1.0,4.0,8.0,5.0,,8.0,7.0,7.0
FH_CMU_TimeSeries,,,,,,,,3.0,11.0,51.0,46.0,1.0,110.0,19.0,84.0,93.0,64.0,43.0,28.0,52.0,25.0,55.0,7.0,16.0,148.0,25.0,16.0,44.0,273.0,37.0,88.0,76.0,52.0,,170.0,265.0,217.0,28.0,34.0,3.0,13.0,46.0,1.0,32.0,,1.0,15.0,7.0,4.0,1.0,,4.0,2.0,3.0
FH_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,,,,,,9.0,61.0,113.0,140.0,98.0,199.0,26.0,209.0,29.0,69.0,209.0,10.0,,278.0,152.0,,252.0,75.0,46.0,45.0,45.0,,,4.0,,8.0,10.0,14.0,,,,,,
FH_Covid19Sim_Simulator,,,,,,3.0,18.0,0.0,2.0,30.0,,,168.0,40.0,4.0,14.0,70.0,104.0,49.0,2.0,24.0,40.0,43.0,0.0,,68.0,11.0,87.0,94.0,18.0,115.0,98.0,151.0,,273.0,155.0,259.0,40.0,14.0,10.0,34.0,7.0,26.0,3.0,,8.0,26.0,11.0,4.0,6.0,2.0,4.0,8.0,15.0
FH_CovidAnalytics_DELPHI,,,,,,,,,,,,,,,,,,18.0,22.0,24.0,10.0,51.0,19.0,38.0,157.0,111.0,37.0,79.0,68.0,45.0,31.0,32.0,4.0,,118.0,129.0,303.0,3.0,33.0,23.0,42.0,15.0,28.0,20.0,,15.0,30.0,18.0,9.0,6.0,,31.0,16.0,18.0
FH_COVIDhub_baseline,,,,,,32.0,44.0,27.0,32.0,39.0,33.0,22.0,138.0,6.0,12.0,58.0,80.0,9.0,6.0,2.0,41.0,65.0,16.0,28.0,200.0,102.0,138.0,117.0,10.0,3.0,20.0,13.0,58.0,,,206.0,343.0,33.0,18.0,12.0,51.0,138.0,46.0,33.0,,1.0,1.0,1.0,10.0,3.0,,9.0,,4.0
FH_COVIDhub_ensemble,,,,,,22.0,31.0,14.0,25.0,45.0,34.0,30.0,143.0,26.0,30.0,72.0,48.0,11.0,14.0,19.0,31.0,57.0,16.0,26.0,163.0,68.0,113.0,88.0,3.0,20.0,30.0,5.0,71.0,,127.0,131.0,291.0,47.0,33.0,21.0,13.0,42.0,15.0,9.0,,2.0,10.0,,7.0,4.0,,,,8.0
FH_COVIDhub_trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,255.0,28.0,33.0,26.0,,,,,,,,,3.0,3.0,,,,
